;Bier;Soort;Alcohol;Brouwerij
1351;Palm Green;alcoholarm;0,25%;Brouwerij Palm
1352;Palm Hopper;hogegisting;6%;Brouwerij Palm
1353;Palm Hop Select;hogegisting;6%;Brouwerij Palm
1354;Palm N.A;alcoholarm;0,25%;Brouwerij Palm
1355;Palm Royale;hogegisting;7,5%;Brouwerij Palm
1356;Palm Sauvin;hogegisting;4,9%;Brouwerij Palm
1357;Palm Speciale;spécialebelge;5,2%;Brouwerij Palm
1358;Pandreitje;donkerblond;7%;Brouwerij De Regenboog
1359;Pannepot;hogegisting;10%;De Struise Brouwers
1360;Pannepot Reserva;hogegisting,bruin;10%;De Struise Brouwers bij Brouwerij Deca
1361;Pannepot Grand Reserva Vintage;hogegisting,bruin;10%;De Struise Brouwers bij Brouwerij Deca
1362;Pannepot Special Reserva;hogegisting,bruin;10%;De Struise Brouwers bij Brouwerij Deca
1363;Pannepot Wild;hogegisting,bruin;10%;De Struise Brouwers bij Brouwerij Deca
1364;Pannepeut;hogegisting;10%;De Struise Brouwers bij Brouwerij Deca
1365;Papegaei;hogegisting;8%;Brouwerij Verstraete bij Brouwerij Deca
1366;Passchendaele;hogegisting;5,2%;Brouwerij Van Honsebrouck
1367;Passendale;amber;6%;Brouwerij Duvel Moortgat
1368;Pater;streekbier;6%;Brouwerij Anders!
1369;Pater;streekbier;6%;Brouwerij De Lelie
1370;Pater Lieven;abdijbieramber;5,7%;Brouwerij Van Den Bossche
1371;Pater Lieven Blond;abdijbier;6,5%;Brouwerij Van Den Bossche
1372;Pater Lieven Bruin;abdijbier;6,5%;Brouwerij Van Den Bossche
1373;Pater Lieven Tripel;abdijbier;8%;Brouwerij Van Den Bossche
1374;Pater Lieven Wit;abdijbier;8%;Brouwerij Van Den Bossche
1375;Pater Verbiest Blond;biologisch,blond;6,5%;De Proefbrouwerij
1376;Pater Verbiest Donker;biologisch,donker;9%;De Proefbrouwerij
1377;Paternoster Dubbel;bruindubbel;8%;Microbrouwerij Achilles
1378;Paternoster Tripel;tripel;8%;Brouwerij Anders!
1379;Patrasche dubbel;donkerbruin;8%;De Proefbrouwerij
1380;Paulus;oudbruin;6%;Brouwerij Het Sas
1381;Paus;streekbier;?%;Brouwerij Anders!
1382;Paus;streekbier;8,5%;Brouwerij Anders!
1383;Pauwel Kwak;speciaalbier;8,4%;Brouwerij Bosteels
1384;Pax Pils;pils;4,6%;Brouwerij Sint-Jozef
1385;Pêche Mel Bush;fruitbier;8,5%;Brouwerij Dubuisson
1386;Pee Klak Grand Cru;etiketbier;8,4%;Brouwerij Strubbe
1387;Père Abbé;tripel;7,3%;Brasserie Du Bocq
1388;Père Noël;kerstbier;7%;Brouwerij De Ranke
1389;Peter Benoit;etiketbier;5%;Brouwerij Het Sas
1390;Petrus Aged Pale;agedpale;7,3%;Brouwerij Bavik
1391;Petrus Aged Red;roodbruin;8,5%;Brouwerij Bavik
1392;Petrus Blond;hogegisting,blond;6,6%;Brouwerij Bavik
1393;Petrus Dubbel Bruin;bruin;6,5%;Brouwerij Bavik
1394;Petrus Gouden Tripel;tripel;7,5%;Brouwerij Bavik
1395;Petrus Oud Bruin;oudbruin;5,5%;Brouwerij Bavik
1396;Petrus Speciale;speciaalbier;5,5%;Brouwerij Bavik
1397;Petrus Winterbier;winterbier;6,5%;Brouwerij Bavik
1398;Phaedra;amber;6%;Brouwerij Het Alternatief
1399;Pick-Up;pils;5%;Brouwerij Walrave
1400;Piedbœuf Blonde;tafelbier;1,5%;Brouwerij Piedbœuf
1401;Piedbœuf Brune;tafelbier;1,5%;Brouwerij Piedbœuf (InBev)
1402;Piedbœuf Excellence;tafelbier;2%;Brouwerij Piedbœuf (InBev)
1403;Piedbœuf Foncée;tafelbier;1,5%;Brouwerij Piedbœuf (InBev)
1404;Piedbœuf Triple;tafelbier;3,8%;Brouwerij Piedbœuf (InBev)
1405;Pierewietje;;6%;Brouwerij De Regenboog
1406;Piet-Agoras;hogegisting;9%;Brouwerij Het Alternatief bij Brouwerij De Graal
1407;Pikkeling;blond;6,2%;Brouwerij Slaghmuylder
1408;Pikkeling (40);amber,hogegisting;5,5%;Brouwerij Slaghmuylder
1409;Pikkeling Tripel;tripel;8%;Brouwerij Boelens
1410;Pilaarbijter Blond;hogegisting;7,2%;Brouwerij Bavik
1411;Pilaarbijter Bruin;hogegisting;6,5%;Brouwerij Bavik
1412;Pils de Brabant;pils;4,9%;Groep John Martin
1413;Pimpernelle;tripel,biologisch;8%;Brouwerij Jessenhofke
1414;Pink Killer;hogegisting,fruitigwitbier;5%;Brasserie de Silly
1415;Pipedream;ipa;7,8%;Brouwerij Alvinne
1416;Piraat;hogegisting;10,5%;Brouwerij Van Steenberge
1417;Pissenlit;saison;8%;Brasserie Fantôme
1418;Platteau;blond;4,5%;Brouwerij Alvinne
1419;Plezir Blond;pils;5,5%;Brouwerij Sint-Jozef
1420;Plezir Brown;hogegisting;7,1%;Brouwerij Sint-Jozef
1421;Plezir D Lux Blond;blondaperitiefbier;6,7%;Brouwerij Sint-Jozef
1422;Plezir D Lux Rosé;rosébier;5,2%;Brouwerij Sint-Jozef
1423;Ploegsteert;;5,4%;Brouwerij Verhaeghe Vichte
1424;Plokkersbier;amber;7%;Brouwerij De Bie
1425;PMPRNL;tripel,biologisch;8%;Brouwerij Jessenhofke
1426;Podge Belgian Imperial Stout;stout;10,5%;Brouwerij Alvinne
1427;Podge Oak Aged Stout;stout;11%;Brouwerij Alvinne
1428;Polygonneke;roodbruin,etiketbier;6%;Brouwerij Van Eecke
1429;Postel Blond;blond,abdijbier;7%;Affligem Brouwerij
1430;Postel Christmas;roodbruinabdijbier;9%;Affligem Brouwerij (vroeger eerst door
1431;Postel Dubbel;bruin,abdijbier;7%;Affligem Brouwerij (vroeger eerst door
1432;Postel Tripel;blondetripel,abdijbier;8,5%;Affligem Brouwerij (vroeger eerst door
1433;Potteloereke;bruin;8%;Huisbrouwerij Sint-Canarus
1434;Poorter (bier);abdijbier;6,5%;Brasserie du Bocq
1435;Poperings Hommelbier;hogegisting;7,5%;Brouwerij Van Eecke
1436;Poperings Nunnebier;hogegisting;7,2%;Brouwerij Verhaeghe
1437;Préaris Blond;hogegisting;6%;De Proefbrouwerij voor Vliegende Paard Brouwers
1438;Préaris Quadrupel;belgianstrongale;10%;De Proefbrouwerij voor Vliegende Paard Brouwers
1439;Préaris IPA (No Hops No Glory);ipa;6,7%;De Proefbrouwerij voor Vliegende Paard Brouwers
1440;Prima Leroy;tafelbier;3,25%;Brouwerij Het Sas
1441;Primus;pils;5,2%;Brouwerij Haacht
1442;Prins van Horne;amber;7,9%;Brouwerij Boelens voor Vryheytscamme
1443;Prinsesken;lichtrood,fruitbier;6,5%;Brouwerij Boelens
1444;Puitenkop;ipa;5,6%;Brouwerij 't Paenhuys
1445;Qantelaar;quadrupel;8%;Brouwerij Maenhout
1446;Quadrigenti;blond;5,6%;'t Hofbrouwerijke
1447;Quest;blond;9%;Brouwerij De Graal
1448;Queueu de Charrue Ambrée;amber;5,6%;Brouwerij Verhaeghe Vichte
1449;Queueu de Charrue Blonde;blond,hogegisting;6,6%;Brouwerij Verhaeghe Vichte in opdracht van Brouwerij Vanuxeem
1450;Queueu de Charrue Brune;oudbruin;5,4%;Brouwerij Verhaeghe Vichte in opdracht van Brouwerij Vanuxeem
1451;Queueu de Charrue Triple;tripel;9%;Brouwerij Van Steenberge
1452;Quackelbeens Donker;hogegisting,chocoladebier;7,1%;Brouwerij Gulden Spoor
1453;Quintine Ambrée;hogegisting;8,5%;Brasserie Ellezelloise
1454;Quintine Bio Organic;hogegisting,biologisch;5,9%;Brasserie Ellezelloise
1455;Quintine Blonde;hogegisting;8%;Brasserie Ellezelloise
1456;Rader Ambrée;amber;10,5%;Brasserie de l'Abbaye du Val-Dieu
1457;Rader Blonde;blond;6,5%;Brasserie de l'Abbaye du Val-Dieu voor Stokerij Radermacher
1458;Ramée Blond;blond,tripel,abdijbier;6,8%;Brasserie du Bocq, in opdracht (vroeger Brasserie de Brunehaut)
1459;Ramée Triple Amber;amber,tripel,abdijbier;7,5% (6,8% on keg);Brasserie du Bocq, in opdracht
1460;Ramée Triple Blond;blond,tripel,abdijbier;7,5% (6,8% on keg);Brasserie du Bocq, in opdracht (vroeger Brasserie de Brunehaut)
1461;Ramée Wit;witabdijbier;5% (on keg);Brasserie du Bocq, in opdracht (vroeger
1462;Rasta Trolls;hogegisting,blond;7%;Brouwerij Dubuisson
1463;Rebel Local;ipa;8,5%;Brouwersverzet
1464;Redbach;fruitbier(kriekensap);3,5%;Brouwerij Rodenbach
1465;Redbocq;fruitbier;3,1%;Brasserie Du Bocq
1466;Redor;pils;5%;Brasserie Dupont
1467;Regal Christmas;bruin;8,1%;Brasserie Du Bocq
1468;Reinaert Blond;amber;7%;De Proefbrouwerij
1469;Reinaert Grand Cru;amber;9,5%;De Proefbrouwerij
1470;Reinaert Tripel;blond;9%;De Proefbrouwerij
1471;René;blond;7%;Brouwerij De Graal
1472;Reninge Bitter Blond;blond;7%;Seizoensbrouwerij Vandewalle
1473;Reninge Oud Bruin;bruin;6%;Seizoensbrouwerij Vandewalle
1474;Revolucion Mexicana'10;lagegisting;5%;Group John Martin
1475;Ridder;alcoholarm;2,25%;Brouwerij Het Sas
1476;Riebedebie;tripel;9%;Brouwerij De Bie
1477;Ribaldus blond;blond;7,5%;Brouwerij De Graal
1478;Riva Blanche;witbier;5%;Brouwerij Riva
1479;Robustus;quadrupel;10%;Brouwerij Het Gulden Spoor
1480;Rochefort 6;trappist;7,5%;Abdij Notre-Dame de Saint-Rémy
1481;Rochefort 8;trappist;9,2%;Abdij Notre-Dame de Saint-Rémy
1482;Rochefort 10;trappist;11,3%;Abdij Notre-Dame de Saint-Rémy
1483;Rodenbach;oudbruin;5,2%;Brouwerij Rodenbach
1484;Rodenbach Alexander;oudbruin;6%;Brouwerij Rodenbach
1485;Rodenbach Caractère Rouge;oudbruin;7%;Brouwerij Rodenbach
1486;Rodenbach Grand Cru;oudbruin;6%;Brouwerij Rodenbach
1487;Rodenbach Rosso;oudbruin;4%;Brouwerij Rodenbach
1488;Rodenbach Vintage;oudbruin;7%;Brouwerij Rodenbach
1489;Rogier (bier);specialebelge;6,5%;Brouwerij De Graal
1490;Romy Pils;pils;5,1%;Brouwerij Roman
1491;Romy Luxe;pils;5,6%;Brouwerij Roman
1492;Ronsischen Dubbel;winterbier;7,4%;De Proefbrouwerij
1493;Ronsischen Tripel;tripel;8%;De Proefbrouwerij voor bierfirma Slaapmutske
1494;Roodebol;fruitbier;6,6%;Brouwerij Loterbol
1495;Rosdel;amber;5,8%;Brouwerij Nieuwhuys
1496;Rosé de Gambrinus;fruitbier,lambiek;5,5%;Brasserie Cantillon
1497;Rose des Remparts;fruitbier;4,5%;Brasserie La Binchoise
1498;Rosé Max;fruitbier;4,5%;Brouwerij Bockor
1499;Roste Jeanne;belgianale;7%;De Struise Brouwers
1500;Rousse de Brabant;koper-amber;5,2%;Groep John Martin
1501;RSRV;biologisch,roodbruin;10%;Brouwerij Jessenhofke
1502;Rubbens (bier);;;Brouwerij van Zonnegem
1503;'s Lands Souvenirs Du Terroir;bruin;11%;Brouwerij De Landtsheer
1504;Safir;pils;5%;InBev
1505;Saint-Benoît Blonde;blond,hogegisting;6,3%;Brasserie du Bocq
1506;Saint-Benoît Brune;donker,hogegisting;6,5%;Brasserie du Bocq
1507;Saint-Lamvinus;fruitbier,lambiek;6%;Brouwerij Cantillon
1508;Saint-Monon Ambrée;amber;6,5%;Brasserie Saint-Monon
1509;Saint-Monon au Miel;tripel,honingbier;8%;Brasserie Saint-Monon
1510;Saint-Monon Brune;dubbel;7,5%;Brasserie Saint-Monon
1511;Saison 1858;saison;6,4%;Brasserie du Bocq
1512;Saison 1900;amber,saison;5,2%;Brouwerij Lefebvre
1513;Saison 2000;saison;6,5%;Brasserie des Légendes
1514;Saison Cazeau;saison;5%;Brasserie de Cazeau
1515;Saison de Dottignies;saison;5,5%;Brouwerij De Ranke
1516;Saison de la Senne;saison;4,3%;Brouwerij De Ranke
1517;Saison de Mai;saison;8,3%;Brasserie Saint-Monon
1518;Saison de Pipaix;saison;6%;Brasserie à Vapeur
1519;Saison d'Epeautre;blond,;6%;Brasserie de Blaugies
1520;Saison d'Erpe-Mere;saison;6,9%;Brouwerij De Glazen Toren
1521;Saison de Silly;saison,amber;5%;Brasserie de Silly
1522;Saison Dupont;saison;6,5%;Brouwerij Dupont
1523;Saison Dupont Bio;saison,biologisch;5,5%;Brouwerij Dupont
1524;Saison Dupont Cuvée Dry Hopping;saison;6,5%;Brouwerij Dupont
1525;Saison Regal;saison,amber;5,5%;Brasserie du Bocq (voorheen
1526;Saison St-Feuillien;saison,amber;6,5%;Brasserie Saint-Feuillien
1527;Saison Voisin;saison,amber;5%;Brasserie des Légendes
1528;Sans Pardon;imperialstout,zwart;11%;Brouwerij De Dochter van de Korenaar
1529;Santa Bee;bruinkerstbier;8,5%;Brouwerij Boelens
1530;Sara Blond;blond,hogegisting,boekweit;6%;Brasserie de Silenrieux
1531;Sara Bruin;bruin,hogegisting,boekweit;6%;Brasserie de Silenrieux
1532;Sas Brune;hogegisting;5,3%;Brouwerij Het Sas
1533;Sas Export;exportpils;5%;Brouwerij Het Sas
1534;Sas Pils;pils;5%;Brouwerij Het Sas
1535;Sasbräu;dortmunder;6,3%;Brouwerij Het Sas
1536;Satan Black;donker,hogegisting;8%;Brouwerij De Block
1537;Satan Gold;blond,hogegisting;8%;Brouwerij De Block
1538;Satan Red;vlaamsbruin;8%;Brouwerij De Block
1539;Satan White;witbier;5%;Brouwerij De Block
1540;Saxo;hogegisting;8%;Brasserie Caracole
1541;Schaarbeekse Oude Kriek 3 Fonteinen;fruitbier,lambiek;5%;Geuzestekerij 3 Fonteinen
1542;Schapenkop;tripel;8%;Brouwerij 't Paenhuys
1543;Scheldepils;pils;5%;Brouwerij Huyghe
1544;Schoenlappertje;zwarte-bessenbier;5%;De Scheldebrouwerij
1545;Schultenbräu;pils;4,9%;Brouwerij Martens
1546;SchuppenAas;amber;6,5%;De Scheldebrouwerij
1547;SchuppenBoer;tripel;8,5%;De Scheldebrouwerij
1548;Scotch Crowned Trees Scotch;scotch;7,2%;Inbev
1549;Scotch Crowned Trees Stout;stout;%;Brouwerij Wielemans
1550;Scotch Silly;hogegisting,scotch;7,8%;Brasserie de Silly
1551;Seefbier;hogegisting;%;meerder artisanale historische brouwerijen
1552;Seefbier;hogegisting;6,5%;Antwerpse Brouw Compagnie
1553;Serafijn Blond;blond,hogegisting;6,2%;De Proefbrouwerij
1554;Serafijn Donker;bruin,hogegisting;8%;De Proefbrouwerij voor Microbrouwerij Achilles
1555;Serafijn Grand Cru;amber,hogegisting;9%;De Proefbrouwerij voor Microbrouwerij Achilles
1556;Serafijn Tripel;tripel;8%;De Proefbrouwerij voor Microbrouwerij Achilles
1557;Serafijn Kerstlicht;amber,kerstbier;7%;De Proefbrouwerij voor Microbrouwerij Achilles
1558;Sernia Brune;scotch,etiketbier;7,2%;Inbev
1559;Sezoens Blond;hogegisting,blond;6%;Brouwerij Martens (Bocholt)
1560;Sezoens Quattro;hogegisting,amber;8%;Brouwerij Martens (Bocholt)
1561;Shark Pants;double;9%;De Struise Brouwers
1562;Silly Pils;pils;5%;Brasserie de Silly
1563;Silly Pils Bio;pils,biologisch;5%;Brasserie de Silly
1564;Sinpalsken Blond;hogegisting;8,5%;Brouwerij De Cock
1565;Sinpalsken Donker;hogegisting;8,5%;Brouwerij De Cock bij Brouwerij Van Steenberge
1566;Sint-Adriaansbier Blond;abdijbier;6,5%;Brouwerij Van Steenberge
1567;Sint-Adriaansbier Bruin;abdijbier;;Brouwerij Van Steenberge
1568;Sint-Amatus;quadrupel;10,5%;De Struise Brouwers
1569;Sint Canarus Tripel;tripel;7,5%;Huisbrouwerij Sint Canarus
1570;Sint Canarus 10;tripel;8,73%;Huisbrouwerij Sint Canarus
1571;Sinterklaas;blond;8,5%;Brouwerij Boelens
1572;Sint-Gummarus Dubbel;;7%;Brouwerij Sint-Jozef
1573;Sint-Gummarus Tripel;hogegisting,tripel;8%;Brouwerij Sint-Jozef
1574;Sint-Idesbald blond;hogegisting;6,5%;Brouwerij Huyghe
1575;Sint-Idesbald dubbel;hogegisting;8%;Brouwerij Huyghe
1576;Sint-Idesbald tripel;hogegisting;9%;Brouwerij Huyghe
1577;Sint-Idesbald Rousse;hogegisting;7%;Brouwerij Huyghe
1578;Slaapmutske Blond;hogegisting,blond;6,4%;De Proefbrouwerij voor
1579;Slaapmutske Bruin;hogegisting,bruin;6%;De Proefbrouwerij voor Brouwerij Slaapmutske
1580;Slaapmutske Bio Tripel;biologisch,tripel,goudblond;8%;De Proefbrouwerij voor Brouwerij Slaapmutske
1581;Slaapmutske Hop Collection ft. Kent Goldings;hogegisting,singlehop;10%;De Proefbrouwerij voor Brouwerij Slaapmutske
1582;Slaapmutske Tripel;biologisch,tripel,goudblond;8,1%;De Proefbrouwerij voor Brouwerij Slaapmutske
1583;Slaapmutske Christmas;hogegisting,kerstbier;7,4%;De Proefbrouwerij voor Brouwerij Slaapmutske
1584;Slaapmutske Dry Hopped Lager;lagegisting,dortmunder;5,3%;De Proefbrouwerij voor Brouwerij Slaapmutske
1585;Slaapmutske Winterbier;hogegisting,bruin;6%;De Proefbrouwerij voor Brouwerij Slaapmutske
1586;Slaefke;tripel;7,5%;Huisbrouwerij Sint Canarus
1587;Slag Lager;pils;5%;Brouwerij Slaghmuylder
1588;Slaghmuylder's Kerstbier;lagegisting,blond;5,2%;Brouwerij Slaghmuylder
1589;Slaghmuylder's Paasbier;lagegisting,blond;5,2%;Brouwerij Slaghmuylder
1590;Slim³;bovengisting;8%;Brouwerij De Graal
1591;Sloeber;hogegisting;7,5%;Brouwerij Roman
1592;Smisje Kerst;donkeramber;11%;Brouwerij Smisje
1593;Smiske;blond;7%;Brouwerij Smisje
1594;Smiske Bruin;dubbel;7%;Brouwerij Smisje
1595;Smiske Extra;tripel;7%;Brouwerij Smisje
1596;Smiske Winter;donkeramber;11%;Brouwerij Smisje
1597;Snaaskerstbier;kerstbier;8%;Brouwerij Deca
1598;Snoek Blond;hogegisting;7,5%;Brouwerij Bavik
1599;Snoek Bruin;hogegisting;5,5%;Brouwerij Strubbe
1600;Snowbuk;saison;6%;Brouwerij Gulden Spoor
1601;Snuffelbeer;goud,hogegisting;6%;Brouwerij De Regenboog
1602;Sparta Pils;pils;5%;Brouwerij Van Steenberge
1603;Special 6 Block;amber,hogegisting;6%;Brouwerij De Block
1604;Special De Ryck;hogegisting,amber;5,5%;Brouwerij De Ryck
1605;Special Extra Export Stout;stout;9%;De Dolle Brouwers
1606;Special Roman;bruin;5,5%;Brouwerij Roman
1607;Speciale 1900;amber;5%;Brouwerij Haacht
1608;Spéciale de Brabant;pils;5,3%;Groep John Martin
1609;Speculoos Bier;hogegisting(etiketbier);8%;Brasserie d'Ecaussinnes
1610;Spelziale;ale;4,5%;Brasserie Millevertus
1611;Spioenkopje;fruitbier,witbier;5%;Brouwerij Strubbe
1612;Spitfire Oud Balegems;amber;8,0%;Brouwerij Van Steenberge
1613;St. Bernardus Abt 12;hogegisting;10,5%;Brouwerij St. Bernardus
1614;St. Bernardus Christmas Ale;kerstbier;10%;Brouwerij St. Bernardus
1615;St. Bernardus Extra 4;blondseizoensbier;4,8%;Brouwerij St. Bernardus
1616;St. Bernardus Pater 6;hogegisting;6,7%;Brouwerij St. Bernardus
1617;St. Bernardus Prior 8;hogegisting;8%;Brouwerij St. Bernardus
1618;St. Bernardus Tripel;hogegisting;8%;Brouwerij St. Bernardus
1619;St. Bernardus Wit;witbier;5,5%;Brouwerij St. Bernardus
1620;Sint-Idesbald Réserve Ten Duinen Blond;erkendbelgischabdijbier;6,5%;Brouwerij Huyghe
1621;Sint-Idesbald Réserve Ten Duinen Dubbel;erkendbelgischabdijbier;8%;Brouwerij Huyghe
1622;Sint-Idesbald Réserve Ten Duinen Rousse;erkendbelgischabdijbier;7%;Brouwerij Huyghe
1623;Sint-Idesbald Réserve Ten Duinen Tripel;erkendbelgischabdijbier,tripel;9%;Brouwerij Huyghe
1624;Spécial de Nouvel An;;9,5%;Brouwerij Dupont
1625;St. Benoit Blonde;abdijbier;6,3%;Brasserie du Bocq
1626;St. Benoit Brune;abdijbier;6,5%;Brasserie du Bocq
1627;St. Feuillien Blonde;erkendbelgischabdijbier;7,5%;Brouwerij St-Feuillien
1628;St. Feuillien Brune Réserve;erkendbelgischabdijbier;7,5%;Brouwerij St-Feuillien
1629;Grand Cru St-Feuillien Grand Cru;erkendbelgischabdijbier;9,5%;Brasserie Saint Feuillien
1630;St. Feuillien Triple;erkendbelgischabdijbier;8,5%;Brouwerij St-Feuillien
1631;St. Feuillien Cuvée de Noël;erkendbelgischabdijbier,kerstbier;8,5%;Brouwerij St-Feuillien
1632;St. Firminus Blond;abdijbier;;Brasserie Du Bocq
1633;St. Firminus Bruin;abdijbier;;Brasserie Du Bocq
1634;St. Louis Cassis;fruitbier;4,5%;Brouwerij Van Honsebrouck
1635;St. Louis Cassis Kir Royal;fruitbier;4,5%;Brouwerij Van Honsebrouck
1636;St. Louis Framboise;frambozenbier;5 en 4,5%;Brouwerij Van Honsebrouck
1637;St. Louis Frambozen(bier);frambozenbier;5%;Brouwerij Van Honsebrouck
1638;St. Louis Gueuze;geuze;5 en 4,5%;Brouwerij Van Honsebrouck
1639;St. Louis Gueuze Fond Tradition;geuze;5%;Brouwerij Van Honsebrouck
1640;St. Louis Kriek Lambic;kriek;4,5%;Brouwerij Van Honsebrouck
1641;St. Louis Peche;fruitbier;3,5%;Brouwerij Van Honsebrouck
1642;St. Louis Premium Cassis;fruitbier;3,2%;Brouwerij Van Honsebrouck
1643;St. Louis Premium Faro;faro;3,2%;Brouwerij Van Honsebrouck
1644;St. Louis Premium Framboise;fruitbier;2,8%;Brouwerij Van Honsebrouck
1645;St. Louis Premium Kriek;kriek;3,2%;Brouwerij Van Honsebrouck
1646;St. Louis Premium Pêche;fruitbier;2,6%;Brouwerij Van Honsebrouck
1647;St. Paul Blond;abdijbier;5,3%;Brasserie du Bocq voor
1648;St. Paul Double;abdijbier;6,9%;Brasserie du Bocq voor Brouwerij Sterkens
1649;St. Paul Speciale;abdijbier;5,5%;Brasserie du Bocq voor Brouwerij Sterkens
1650;St. Paul Tripel;abdijbier,tripel;5%;Brasserie du Bocq voor Brouwerij Sterkens
1651;St. Sebastiaan Dark;abdijbier;6,9%;Brasserie du Bocq voor Brouwerij Sterkens
1652;St. Sebastiaan Grand Cru;abdijbier;7,6%;Brasserie du Bocq voor Brouwerij Sterkens
1653;Star Blond;blond;0,4%;Brouwerij Haacht
1654;Steenbrugge Blond;abdijbier,blond;6,5%;Brouwerij Palm
1655;Steenbrugge Dubbel Bruin;abdijbier,tripel,bruin;6,5%;Brouwerij Palm (vroeger in
1656;Steenbrugge Tripel;abdijbier;8,7%;Brouwerij Palm (vroeger in Brouwerij De Gouden Boom)
1657;Steenbrugge Wit;witbier;5%;Brouwerij Palm
1658;Steendonk;witbier;4,5%;Brouwerij Duvel Moortgat
1659;Steenuilke;hogegisting;6,5%;Brouwerij De Rijck
1660;Stella Artois;pils,lagegisting;5,2%;InBev
1661;Stepa;tripel,suikervrij;8%;De Proefbrouwerij voor Stepaja bvba
1662;Stille Nacht;donker;12%;De Dolle Brouwers
1663;Stoere Wulp;bruin;6,5%;De Proefbrouwerij
1664;Stoeren Bonk;amber;6,3%;Brouwerij Van Steenberge
1665;Stoeren Bonk Blond;blond;8%;Brouwerij Van Steenberge
1666;Stout Leroy;zoetestout;5%;Brouwerij Het Sas
1667;Stoute Bie;donkerbruin;5,5%;Brouwerij De Bie
1668;Stout Mokke;stout;9%;Bieren Cabardouche
1669;Stouterik;stout;4,5%;Brouwerij De Ranke
1670;Straffe Hendrik;hogegisting,tripel;9%;Brouwerij De Halve Maan
1671;Straffe Hendrik Quadrupel;hogegisting,speciaalbier;11%;Brouwerij De Halve Maan
1672;Straffe Hendrik Heritage;hogegisting,speciaalbier;11%;Brouwerij De Halve Maan
1673;Straffe Hendrik Wild;hogegisting,tripel;9%;Brouwerij De Halve Maan
1674;Straffe Toeback;hogegisting;9,5%;Scheldebrouwerij
1675;Straffe Winter;geuze;8%;Geuzestekerij 3 fonteinen
1676;Strandgaper;goud;6,2%;De Scheldebrouwerij
1677;Strandjuttersbier Mong De Vos;quadrupel;9,2%;Brouwerij Strubbe
1678;Stropken;amber;7%;Brouwerij Bios
1679;Strubbe Pils;pils;5,2%;Brouwerij Strubbe
1680;Struise Rosse;hogegisting,belgischepaleale;5%;De Struise Brouwers
1681;Struise Witte;hogegisting;5%;De Struise Brouwers bij Brouwerij Deca
1682;Struiselensis;hogegisting,belgischeblondeale;7%;De Struise Brouwers bij Brouwerij Deca
1683;Suma Pils;etiketbier;5%;Brouwerij Het Sas
1684;Super 64;hogegisting,amber;5%;Brasserie de Silly
1685;Super des Fagnes Blonde;hogegisting,blond;7,5%;Brasserie des Fagnes
1686;Super des Fagnes Brune;hogegisting,bruin;7,5%;Brasserie des Fagnes
1687;Super des Fagnes Griottes;hogegisting,kriek;4,8%;Brasserie des Fagnes
1688;Super des Fagnes Noel;hogegisting,bruin,kerstbier;8,5%;Brasserie des Fagnes
1689;Super des Fagnes Scotch;hogegisting,scotch;7,5%;Brasserie des Fagnes
1690;Super NoAH;ipa;4,9%;Brouwers Verzet
1691;Superpils;pils;4,3%;Brouwerij Strubbe
1692;Sur-les-Bois Ambrée;hogegisting;8%;Brasserie La Botteresse de Sur-les-Bois
1693;Sur-les-Bois Blonde;hogegisting;7%;Brasserie La Botteresse de Sur-les-Bois
1694;Sur-les-Bois Brune;hogegisting;9%;Brasserie La Botteresse de Sur-les-Bois
1695;Svea IPA;ipa;5%;De Struise Brouwers bij Brouwerij Deca
1696;'t Baronneke;stout;6,5%;'t Hofbrouwerijke
1697;'t Gaverhopke Blondje;hogegisting;6,8%;Brouwerij 't Gaverhopke
1698;'t Gaverhopke Bruintje;hogegisting;6,8%;Brouwerij 't Gaverhopke
1699;'t Gaverhopke Kerstbier;hogegisting,kerstbier;6,8%;Brouwerij 't Gaverhopke
1700;'t Gaverhopke Kriek;hogegisting,fruitbier;6,8%;Brouwerij 't Gaverhopke
1701;'t Gaverhopke Paasbier;hogegisting,paasbier;8%;Brouwerij 't Gaverhopke
1702;'t Schoenlappertje;zwarte-bessenbier;6,5%;De Scheldebrouwerij
1703;'t Schoenlappertje;zwarte-bessenbier;5%;De Scheldebrouwerij
1704;'t Smisje + dubbel IPA;ipa;10%;Brouwerij De Regenboog
1705;'t Smisje Bananenbier;fruitbier;6%;Brouwerij De Regenboog
1706;'t Smisje BBBourgondier;hogegisting;12%;Brouwerij De Regenboog
1707;'t Smisje Blond;hogegisting;6%;Brouwerij De Regenboog
1708;'t Smisje Calva Reserva;hogegisting;12%;Brouwerij De Regenboog
1709;'t Smisje Catherine The Great Imperial Stout;stout;10%;Brouwerij De Regenboog
1710;'t Smisje Cuvee 2005;hogegisting;10%;Brouwerij De Regenboog
1711;'t Smisje Dubbel;hogegisting;9%;Brouwerij De Regenboog
1712;'t Smisje Fiori;hogegisting;7%;Brouwerij De Regenboog
1713;'t Smisje Grande Reserva;hogegisting;11%;Brouwerij De Regenboog
1714;'t Smisje Great Reserva;hogegisting;10%;Brouwerij De Regenboog
1715;'t Smisje Halloween;hogegisting;10,5%;Brouwerij De Regenboog
1716;'t Smisje Honing;honingbier;6%;Brouwerij De Regenboog
1717;'t Smisje Honingbier Bruin;honingbier;6%;Brouwerij De Regenboog
